cluster_key,ra_deg,dec_deg,distance_kpc,distance_sigma_kpc,pmra_masyr,pmdec_masyr,pmra_sigma_masyr,pmdec_sigma_masyr,pmra_pmdec_corr,vlos_kms,vlos_sigma_kms,pm_cov_ra_ra_mas2yr2,pm_cov_ra_dec_mas2yr2,pm_cov_dec_dec_mas2yr2,pm_cov_det,pm_cov_min_eig,pm_cov_max_eig,position_sampling,pm_sampling,distance_sampling,vlos_sampling,pm_distance_cross_covariance,rv_astrometry_cross_covariance,additional_pm_systematic_floor,distance_frac_sigma,pm_corr_abs
NGC 1851,78.52816,-40.046554999999998,11.949999999999999,0.13,2.1379999999999999,-0.67000000000000004,0.0080000000000000002,0.0080000000000000002,-0.14999999999999999,321.39999999999998,1.55,6.3999999999999997e-05,-9.5999999999999996e-06,6.3999999999999997e-05,4.0038400000000001e-09,5.4399999999999994e-05,7.36e-05,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.01087866108786611,0.14999999999999999
NGC 1904,81.045837000000006,-24.524415999999999,13.08,0.17999999999999999,2.4700000000000002,-1.599,0.0070000000000000001,0.0080000000000000002,0.02,205.75999999999999,0.20000000000000001,4.9000000000000005e-05,1.1200000000000001e-06,6.3999999999999997e-05,3.1347456000000004e-09,4.8916834434090215e-05,6.4083165565909794e-05,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.013761467889908256,0.02
NGC 2298,102.24754299999999,-36.005305999999997,9.8300000000000001,0.17000000000000001,3.3119999999999998,-2.1829999999999998,0.0070000000000000001,0.0070000000000000001,0.089999999999999997,147.15000000000001,0.56999999999999995,4.9000000000000005e-05,4.4100000000000001e-06,4.9000000000000005e-05,2.3815519000000005e-09,4.4590000000000005e-05,5.3410000000000005e-05,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.017293997965412006,0.089999999999999997
NGC 2419,114.535286,38.881943999999997,88.469999999999999,2.3999999999999999,0.002,-0.54000000000000004,0.012,0.0080000000000000002,0.14000000000000001,-21.100000000000001,0.31,0.000144,1.3440000000000002e-05,6.3999999999999997e-05,9.0353663999999988e-09,6.1802445568492952e-05,0.00014619755443150706,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.02712783994574432,0.14000000000000001
NGC 2808,138.01290900000001,-64.863495,10.06,0.11,1.004,0.26900000000000002,0.0070000000000000001,0.0070000000000000001,-0.029999999999999999,103.56999999999999,0.27000000000000002,4.9000000000000005e-05,-1.4700000000000001e-06,4.9000000000000005e-05,2.3988391000000005e-09,4.7530000000000007e-05,5.0470000000000003e-05,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.010934393638170973,0.029999999999999999
NGC 288,13.188499999999999,-26.582611,8.9900000000000002,0.089999999999999997,4.157,-5.7050000000000001,0.0040000000000000001,0.0040000000000000001,0.45000000000000001,-44.450000000000003,0.13,1.5999999999999999e-05,7.2000000000000005e-06,1.5999999999999999e-05,2.0416e-10,8.7999999999999988e-06,2.3200000000000001e-05,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.010011123470522803,0.45000000000000001
NGC 3201,154.40342699999999,-46.412475999999998,4.7400000000000002,0.040000000000000001,8.3499999999999996,-1.976,0.0050000000000000001,0.0050000000000000001,0.17999999999999999,495.38999999999999,0.059999999999999998,2.5000000000000001e-05,4.5000000000000001e-06,2.5000000000000001e-05,6.0475000000000001e-10,2.05e-05,2.9500000000000002e-05,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.0084388185654008432,0.17999999999999999
NGC 362,15.809416000000001,-70.848777999999996,8.8300000000000001,0.10000000000000001,6.6920000000000002,-2.5329999999999999,0.0089999999999999993,0.0089999999999999993,-0.14999999999999999,223.12,0.28000000000000003,8.099999999999999e-05,-1.2149999999999997e-05,8.099999999999999e-05,6.4133774999999988e-09,6.8849999999999993e-05,9.3149999999999987e-05,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.011325028312570783,0.14999999999999999
NGC 4147,182.52626000000001,18.542639000000001,18.539999999999999,0.20999999999999999,-1.6899999999999999,-2.0920000000000001,0.014,0.012999999999999999,-0.32000000000000001,179.34999999999999,0.31,0.00019600000000000002,-5.8240000000000005e-05,0.00016899999999999999,2.9732102399999997e-08,0.00012271582483633313,0.00024228417516366686,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.011326860841423949,0.32000000000000001
NGC 4372,186.43910099999999,-72.659083999999993,5.71,0.20999999999999999,-6.4089999999999998,3.3090000000000002,0.0040000000000000001,0.0050000000000000001,0.17999999999999999,75.590000000000003,0.29999999999999999,1.5999999999999999e-05,3.5999999999999998e-06,2.5000000000000001e-05,3.8704000000000004e-10,1.4737188186310435e-05,2.6262811813689565e-05,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.036777583187390543,0.17999999999999999
